Day of Year,Year of Period End,Period Begin,Period End,Adjusted Average New Listings Yoy,Adjusted Average New Listings,Average New Listings Yoy (tooltip)
173,2025,5/26/2025,6/22/2025,-0.093023256,263.25,-9.3%
175,2024,5/27/2024,6/23/2024,0.055454545,290.25,5.5%
176,2023,5/29/2023,6/25/2023,-0.244505495,275.0,-24.5%
180,2025,6/2/2025,6/29/2025,-0.077446809,271.0,-7.7%
182,2024,6/3/2024,6/30/2024,0.039823009,293.75,4.0%
183,2023,6/5/2023,7/2/2023,-0.243641232,282.5,-24.4%
187,2025,6/9/2025,7/6/2025,-0.041818182,263.5,-4.2%
189,2024,6/10/2024,7/7/2024,0.007326007,275.0,0.7%
190,2023,6/12/2023,7/9/2023,-0.247933884,273.0,-24.8%
194,2025,6/16/2025,7/13/2025,-0.121185702,252.0,-12.1%
196,2024,6/17/2024,7/14/2024,0.03800905,286.75,3.8%
197,2023,6/19/2023,7/16/2023,-0.221830986,276.25,-22.2%
201,2025,6/23/2025,7/20/2025,-0.126984127,247.5,-12.7%
203,2024,6/24/2024,7/21/2024,0.001766784,283.5,0.2%
204,2023,6/26/2023,7/23/2023,-0.157110946,283.0,-15.7%
208,2025,6/30/2025,7/27/2025,-0.164684355,228.25,-16.5%
210,2024,7/1/2024,7/28/2024,0.030160226,273.25,3.0%
211,2023,7/3/2023,7/30/2023,-0.158604282,265.25,-15.9%
215,2025,7/7/2025,8/3/2025,-0.121435143,238.75,-12.1%
217,2024,7/8/2024,8/4/2024,-0.045654083,271.75,-4.6%
218,2023,7/10/2023,8/6/2023,-0.098178939,284.75,-9.8%
222,2025,7/14/2025,8/10/2025,0.002083333,240.5,0.2%
224,2024,7/15/2024,8/11/2024,-0.187817259,240.0,-18.8%
225,2023,7/17/2023,8/13/2023,0.005957447,295.5,0.6%
229,2025,7/21/2025,8/17/2025,-0.005149331,241.5,-0.5%
231,2024,7/22/2024,8/18/2024,-0.173617021,242.75,-17.4%
232,2023,7/24/2023,8/20/2023,0.036155203,293.75,3.6%
236,2025,7/28/2025,8/24/2025,0.05015674,251.25,5.0%
238,2024,7/29/2024,8/25/2024,-0.199832776,239.25,-20.0%
239,2023,7/31/2023,8/27/2023,0.097247706,299.0,9.7%
243,2025,8/4/2025,8/31/2025,-0.003027245,247.0,-0.3%
245,2024,8/5/2024,9/1/2024,-0.082407407,247.75,-8.2%
246,2023,8/7/2023,9/3/2023,0.010289991,270.0,1.0%
250,2025,8/11/2025,9/7/2025,-0.061797753,250.5,-6.2%
252,2024,8/12/2024,9/8/2024,0.005649718,267.0,0.6%
253,2023,8/14/2023,9/10/2023,0.067336683,265.5,6.7%
257,2025,8/18/2025,9/14/2025,-0.053571429,251.75,-5.4%
259,2024,8/19/2024,9/15/2024,-0.01754386,266.0,-1.8%
260,2023,8/21/2023,9/17/2023,0.097264438,270.75,9.7%
264,2025,8/25/2025,9/21/2025,-0.137271937,248.25,-13.7%
266,2024,8/26/2024,9/22/2024,0.02676182,287.75,2.7%
267,2023,8/28/2023,9/24/2023,0.153292181,280.25,15.3%
271,2025,9/1/2025,9/28/2025,-0.083636364,252.0,-8.4%
273,2024,9/2/2024,9/29/2024,-0.13589945,275.0,-13.6%
274,2023,9/4/2023,10/1/2023,0.690571049,318.25,69.1%
278,2025,9/8/2025,10/5/2025,-0.034001744,277.0,-3.4%
280,2024,9/9/2024,10/6/2024,-0.136295181,286.75,-13.6%
281,2023,9/11/2023,10/8/2023,0.891737892,332.0,89.2%
285,2025,9/15/2025,10/12/2025,0.295187166,302.75,29.5%
287,2024,9/16/2024,10/13/2024,-0.314013206,233.75,-31.4%
288,2023,9/18/2023,10/15/2023,1.15664557,340.75,115.7%
292,2025,9/22/2025,10/19/2025,0.517162471,331.5,51.7%
294,2024,9/23/2024,10/20/2024,-0.377935943,218.5,-37.8%
295,2023,9/25/2023,10/22/2023,1.1953125,351.25,119.5%
299,2025,9/29/2025,10/26/2025,0.43647541,350.5,43.6%
301,2024,9/30/2024,10/27/2024,-0.293777135,244.0,-29.4%
302,2023,10/2/2023,10/29/2023,0.649164678,345.5,64.9%
306,2025,10/6/2025,11/2/2025,0.355212355,351.0,35.5%
308,2024,10/7/2024,11/3/2024,-0.306095111,259.0,-30.6%
309,2023,10/9/2023,11/5/2023,0.547150259,373.25,54.7%
313,2025,10/13/2025,11/9/2025,0.018786127,352.5,1.9%
315,2024,10/14/2024,11/10/2024,-0.122384274,346.0,-12.2%
316,2023,10/16/2023,11/12/2023,0.525145068,394.25,52.5%
320,2025,10/20/2025,11/16/2025,-0.107811491,345.5,-10.8%
322,2024,10/21/2024,11/17/2024,-0.042645241,387.25,-4.3%
323,2023,10/23/2023,11/19/2023,0.478976234,404.5,47.9%
327,2025,10/27/2025,11/23/2025,-0.117094552,352.5,-11.7%
329,2024,10/28/2024,11/24/2024,0.041748206,399.25,4.2%
330,2023,10/30/2023,11/26/2023,0.504416094,383.25,50.4%
334,2025,11/3/2025,11/30/2025,-0.17604712,314.75,-17.6%
336,2024,11/4/2024,12/1/2024,0.042291951,382.0,4.2%
337,2023,11/6/2023,12/3/2023,0.401529637,366.5,40.2%
341,2025,11/10/2025,12/7/2025,-0.194225722,307.0,-19.4%
343,2024,11/11/2024,12/8/2024,0.128053294,381.0,12.8%
344,2023,11/13/2023,12/10/2023,0.31292517,337.75,31.3%
348,2025,11/17/2025,12/14/2025,-0.201602136,299.0,-20.2%
350,2024,11/18/2024,12/15/2024,0.185126582,374.5,18.5%
351,2023,11/20/2023,12/17/2023,0.283248731,316.0,28.3%
355,2025,11/24/2025,12/21/2025,-0.242778542,275.25,-24.3%
357,2024,11/25/2024,12/22/2024,0.179237632,363.5,17.9%
358,2023,11/27/2023,12/24/2023,0.281704782,308.25,28.2%
362,2025,12/1/2025,12/28/2025,-0.22172619,261.5,-22.2%
364,2024,12/2/2024,12/29/2024,0.292307692,336.0,29.2%
365,2023,12/4/2023,12/31/2023,0.224970554,260.0,22.5%
